Name,Type,Dernier Chapitre Lu,Mise à Jour,Tier,Status,Langue,Commentaire,"Lien vers ",Jour de sortie
The Villain's Match Is Too Perfect,Manhwa,45,"August 14, 2024 1:50 PM",A,Arreter,Ang,"Fin de saison 1 Pause ",https://mangazin.org/manga/the-villains-match-is-too-perfect/,
Chronicles Of A Returner Return of the War God,Manhua,75,"August 14, 2024 1:50 PM",A,Arreter,Ang,,https://likemanga.io/manga/chronicles-of-the-martial-god%E2%80%99s-return-2125/,
Genius Martial Arts Trainer,Manhwa,25,"September 5, 2024 11:42 AM",B,Lecture,Ang,,https://asuratoon.com/manga/genius-martial-arts-trainer/,
I’ll Retire After Saving the World,Manhwa,22,"July 12, 2024 10:35 PM",A,Lecture,Fr,,https://phenixscans.fr/manga/ill-retire-after-saving-the-world/,
Subscribing To The Transcendent’s Channel,Manhwa,24,"July 12, 2024 10:35 PM",A,Lecture,Ang,,https://manhuaus.com/manga/subscribing-to-the-transcendents-channel/,
The Descent of the Demonic Master,Manhua,159,"September 2, 2024 9:22 AM",A+,Lecture,Fr,,https://phenixscans.fr/manga/descent-of-the-demon-master/,
"Actually, I Was the Real One ",Manhwa,125,"July 1, 2024 12:00 PM",A,Lecture,Ang,,https://kunmanga.com/manga/actually-i-was-the-real-one/,
How a Former Pro takes advantage by doing an easy job,Manhwa,53,"July 1, 2024 11:59 AM",B,En Pause,Ang,,https://kunmanga.com/manga/how-a-former-pro-takes-advantage-by-doing-an-easy-job/,
Infinite Mage,Manhwa,82,"September 5, 2024 11:42 AM",S,Lecture,Fr,,https://phenixscans.fr/manga/v530990-infinite-mage/,
The Nebula’s Civilization,Manhwa,51,"July 12, 2024 10:40 PM",A+,Lecture,Ang,,https://asuratoon.com/manga/1908287720-the-nebulas-civilization/,
Past Life Returner,Manhwa,95,"August 13, 2024 8:26 AM",S,En Pause,Fr,Fin de saison 2 repirise Octobre 2024,https://reaperscans.fr/serie/past-life-returner/,
Magic Academy’s Genius Blinker,Manhwa,33,"August 31, 2024 1:34 AM",S,Lecture,Ang,,https://kingofshojo.com/manga/magic-academys-genius-blinker/,
Hyper Luck,Manhwa,73,"June 9, 2024 9:38 PM",A+,Lecture,Fr,,https://reaperscans.fr/serie/hyper-luck/,
The Margrave’s Bastard Used to be the Emperor,Manhwa,28,"August 16, 2024 5:02 PM",A,Lecture,Fr,,https://reaperscans.fr/serie/the-margraves-bastard-used-to-be-the-emperor/,
Rise From the Rubble,Manhwa,191,"July 18, 2024 7:50 PM",S,Lecture,Fr,,https://phenixscans.fr/manga/rise-from-the-rubble/,
My Exclusive Tower Guide,Manhwa,21,"July 2, 2024 3:37 PM",A+,Lecture,Ang,,https://asuratoon.com/manga/my-exclusive-tower-guide/,
Top Tier Providence,Manhua,176,"October 20, 2024 1:36 PM",S,Lecture,Fr,,https://edscanlation.fr/series/4e61de7e1f6/,
The Beginning After the End,Manhwa,188,"August 5, 2024 2:33 PM",SS,Lecture,Fr,,https://phenixscans.fr/manga/v967444-666-the-beginning-after-the-end-v20304451/,
Martial Arts Reigns,Manhua,596,"June 12, 2024 10:24 PM",S,Lecture,Fr,,https://perf-scan.fr/series/martial-arts-reigns,
The Demon Prince goes to the Academy,Manhwa,60,"May 23, 2024 1:33 PM",A,Lecture,Ang,,https://reaperscans.com/comics/4770-the-demon-prince-goes-to-the-academy,
Standard of Reincarnation,Manhwa,101,"September 2, 2024 9:23 AM",S,Lecture,Fr,,https://manga-scantrad.io/manga/standard-of-reincarnation/,
Myst Might Mayhem,Manhwa,35,"August 31, 2024 1:33 AM",A+,Lecture,Ang,,https://phenixscans.fr/manga/myst-might-mayhem/,
My Daughter is the Final Boss,Manhwa,128,"June 11, 2024 11:51 AM",A+,Lecture,Ang,,https://asuratoon.com/manga/1908287720-my-daughter-is-the-final-boss/,
Genius Archer’s Streaming,Manhwa,39,"September 2, 2024 9:24 AM",A,Lecture,Fr,,https://phenixscans.fr/manga/genius-archers-streaming/,
Just Twilight,Manhwa,34,"August 5, 2024 11:57 AM",A,Lecture,Fr,Fin saison 1,https://crunchyscan.fr/liste-manga/just-twilight/,
The Archmage’s Restaurant,Manhwa,39,"August 3, 2024 11:14 PM",A,Lecture,Fr,,https://reaperscans.fr/serie/the-archmages-restaurant/,
"Twin Star Exorcist ",Manga,118,"July 14, 2024 11:39 PM",SS,En Pause,,Tome 31,https://sushiscan.net/catalogue/twin-star-exorcists/,
Murim Login,Manhwa,75,"May 31, 2024 8:39 PM",B,En Pause,Fr,,https://reaperscans.fr/serie/murim-login/,
Martial Peak,Manhua,1407,"October 20, 2024 1:34 PM",A,Lecture,Fr,,https://perf-scan.fr/series/martial-peak,
Overgeared,Manhwa,237,"September 8, 2024 2:50 PM",S,Lecture,Fr,,https://drive.google.com/drive/folders/1c5MGU115wwV24HpUSmaDfN-llSodwDOY,"Dimanche, Lundi"
One Piece,Manga,1122,"August 3, 2024 7:54 PM",B,Lecture,Fr,,https://www.lelmanga.com/manga/one-piece,Dimanche
Versatile Mage,Manhua,662,"March 25, 2024 12:38 AM",B,Arreter,Fr,Fatiguer de le lire.,https://manga-scantrad.io/manga/versatile-mage/,
Rebirth of the Urban Immortal Cultivator,Manhua,605,"March 25, 2024 12:38 AM",B,Arreter,Fr,Sortie pas trop réguliere,https://manga-scantrad.io/manga/rebirth-of-the-urban-immortal-cultivator/,
Tales of Demons and Gods,Manhua,475.5,"June 5, 2024 8:52 PM",A,Lecture,Fr,,https://manga-scantrad.io/manga/tales-of-demons-and-gods-scan-fr/,
https://likemanga.io/the-ghostly-doctor-985/ ,Manhua,414,"March 23, 2024 11:49 PM",A,Arreter,Ang,Fatiguer de lire,https://likemanga.io/manga/the-ghostly-doctor-985/,
Skeleton Soldier Couldn’t Protect the Dungeon,Manhwa,280,"July 10, 2024 11:36 AM",S,Lecture,Fr,,https://phenixscans.fr/manga/v640264-99-skeleton-soldier-couldnt-protect-the-dungeon-v04074757/,
A Returner’s Magic Should Be Special,Manhwa,268,"September 5, 2024 11:43 AM",S,Arreter,Fr,Fini,https://phenixscans.fr/manga/v183931-99-a-returners-magic-should-be-special-v48856904/,Dimanche
Volcanic Age,"Manhua, Manhwa",250,"March 25, 2024 12:38 AM",A,Lecture,Fr,"Reprise apres une pause ",https://manga-scantrad.io/manga/volcanic-age/,
Nano Machine,Manhwa,223,"September 5, 2024 11:43 AM",SS,Lecture,Ang,,https://asuratoon.com/manga/9188439096-nano-machine/,"Mardi, Mercredi"
Release That Witch,Manhwa,198,"May 31, 2024 8:40 PM",A,En Pause,Fr,,https://manga-scantrad.io/manga/release-that-witch/,
Mercenary Enrollment,Manhwa,198,"August 31, 2024 1:35 AM",SS,Lecture,Fr,,https://reaperscans.fr/serie/mercenary-enrollmentt/,
Lightning Degree,Manhwa,178,"April 5, 2024 11:56 PM",SS,En Pause,Fr,Fin saison 3,,
Chronicles of Heavenly Demon,Manhwa,171,"April 2, 2024 7:35 PM",SS,Lecture,Fr,,https://phenixscans.fr/manga/chronicles-of-heavenly-demon/,
Spirit Farmer,Manhwa,154,"March 25, 2024 12:38 AM",A,Arreter,Fr,Fatiguer de lire,https://asuratoon.com/manga/4555060900-spirit-farmer/,
I Can See Your Death ,Manhwa,23,"March 25, 2024 12:38 AM",B,Arreter,Fr,"Je sais pas ",https://manga-scantrad.io/manga/i-can-see-your-death/,
I’m the Max-Level Newbie,Manhwa,167,"September 5, 2024 11:45 AM",SS,Lecture,Fr,,https://phenixscans.fr/manga/v375300-667-im-the-max-level-newbie-v47845870/,Alétoire
Owari no Seraph,Manga,141,"October 6, 2024 2:36 AM",SS,Lecture,Fr,"Tout les début de mois, pas de chapitre en Mai",,
Poison Dragon: The Legend of an Asura,Manhwa,133,"March 28, 2024 11:42 AM",S,Lecture,Fr,,https://phenixscans.fr/manga/1-poison-dragon-the-legend-of-an-asura/,
The Greatest Estate Developer,Manhwa,126,"March 23, 2024 11:49 PM",A,Arreter,Ang,"Fatiguer de lire ",https://asuratoon.com/manga/4555060900-the-greatest-estate-developer/,
The Devil Raises a Lady,Manhwa,36,"March 25, 2024 12:38 AM",B,Arreter,Fr,"Flemme ",https://manga-scantrad.io/manga/the-devil-raises-a-lady/,
The Dark Mage’s Return to Enlistment,Manhwa,34,"March 25, 2024 12:38 AM",B,Arreter,Fr,Flemme,https://manga-scantrad.io/manga/the-dark-mages-return-to-enlistment/,
My Lucky Encounter From The Game Turned Into Reality,Manhwa,,"March 23, 2024 12:54 AM",,Not started,Ang,"Conseille Antoine ",https://zinmanga.com/manga/my-lucky-encounter-from-the-game-turned-into-reality/,
Class S Hunter Doesn't Want to be a Villain Princess,Manhwa,28,"July 7, 2024 11:30 PM",B,Arreter,Fr,,https://manga-scantrad.io/manga/class-s-hunter-doesnt-want-to-be-a-villain-princess/,
The Extra’s Academy Survival Guide,Manhwa,40,"September 2, 2024 9:24 AM",S,Lecture,Fr,Kiffant,https://phenixscans.fr/manga/v164393-the-extras-academy-survival-guide/,
The World After the Fall,Manhwa,130,"June 27, 2024 10:15 AM",A,Lecture,Fr,,https://perf-scan.fr/series/the-world-after-the-fall,
Solo Necromancy,Manhwa,131,"July 4, 2024 11:50 PM",A,Lecture,Fr,,https://phenixscans.fr/manga/v733883-99-solo-necromancy-v47248567/,
Absolute Necromancer,Manhwa,61,"September 6, 2024 9:18 AM",A,Lecture,Fr,,https://phenixscans.fr/manga/absolute-necromancer/,
Return of the Mount Hua Sect,Manhwa,139,"September 5, 2024 11:43 AM",SS,Lecture,Ang,,https://asuratoon.com/manga/9188439096-return-of-the-mount-hua-sect/,"Mardi, Mercredi"
The Book Eating Magician,Manhwa,114,"May 31, 2024 8:40 PM",A+,En Pause,Fr,Fin saison 2,https://phenixscans.fr/manga/the-book-eating-magician/,
Swordmaster’s Youngest Son,Manhwa,127,"September 2, 2024 9:26 AM",S,Lecture,Fr,,https://reaperscans.fr/serie/swordmasters-youngest-son/,
"Logging 10,000 Years into the Future",Manhua,150,"September 5, 2024 11:43 AM",A,Lecture,Ang,,https://asuratoon.com/manga/9188439096-logging-10000-years-into-the-future/,
The Dark Magician Transmigrates After 66666 Years,Manhwa,123,"September 2, 2024 9:21 AM",A+,Lecture,Fr,,https://phenixscans.fr/manga/v331230-the-dark-magician-transmigrates-after-66666-years/,
"Honey, I’m going on strike",Manhwa,107,"April 19, 2024 2:41 PM",S,Lecture,Fr,,https://manga-scantrad.io/manga/honey-im-going-on-strike/,
How to Get My Husband on My Side,Manhwa,91,"March 28, 2024 7:37 PM",A,Lecture,Ang,,https://mangazin.org/manga/how-to-get-my-husband-on-my-side/,
Infinite leveling: Murim,Manhua,90,"March 25, 2024 12:38 AM",B,Arreter,Fr,Flemme,https://manga-scantrad.io/manga/infinite-leveling-murim/,
Pick Me Up !,Manhwa,112,"September 5, 2024 11:43 AM",S,Lecture,Fr,,https://phenixscans.fr/manga/v415552-pick-me-up/,"Mardi, Mercredi"
Player from Today Onwards,Manhwa,88,"March 25, 2024 12:38 AM",B,Arreter,Fr,Flemme,https://reaperscans.fr/serie/player-from-today-onwards/,
Necromancer Academy’s Genius Summoner,Manhwa,115,"August 13, 2024 7:12 PM",A+,Lecture,Fr,,https://reaperscans.fr/serie/necromancer-academys-genius-summoner/,
Reaper of the Drifting Moon,Manhwa,94,"July 16, 2024 9:06 PM",S,Lecture,Fr,,https://phenixscans.fr/manga/v172399-reaper-of-the-drifting-moon/,
"Player Who Returned 10,000 Years Later",Manhwa,90,"September 2, 2024 9:25 AM",S,Lecture,Fr,,https://phenixscans.fr/manga/v914342-player-who-returned-10000-years-later/,
Dragon-Devouring Mage,Manhwa,52,"March 25, 2024 12:38 AM",A+,En Pause,Fr,Pas de date annoncer,https://phenixscans.fr/manga/v835135-666-dragon-devouring-mage-v98806311/,
How To Reject My Obsessive Ex-Husband,Manhwa,15,"March 23, 2024 11:47 PM",C,Lecture,Ang,,https://zinmanga.com/manga/how-to-reject-my-obsessive-exhusband/,
Dungeon Odyssey,Manhwa,,"March 25, 2024 12:38 AM",,Not started,Fr,,https://manga-scantrad.io/manga/dungeon-odyssey/,
Trash of the Count’s Family,Manhwa,,"March 25, 2024 12:38 AM",,Not started,Fr,,https://manga-scantrad.io/manga/trash-of-the-counts-family/,
Return of The Mad Demon,Manhwa,,"March 25, 2024 12:38 AM",,Not started,Fr,Sortie de base sur Reaper Scan,https://manga-scantrad.io/manga/return-of-the-mad-demon/,
Le retour du guerrier à la lance légendaire,Manhwa,,"March 25, 2024 12:38 AM",,Not started,Fr,Sortie de base sur Reaper Scan,https://manga-scantrad.io/manga/le-retour-du-guerrier-a-la-lance-legendaire/,
Lady Baby,Manhwa,,"March 25, 2024 12:38 AM",,En Pause,Fr,"Sortie anglaise plus loin ",https://manga-scantrad.io/manga/lady-baby/,
Star-Embracing Swordmaster,Manhwa,57,"September 5, 2024 11:44 AM",SS,Lecture,Ang,,https://asuratoon.com/manga/1908287720-star-embracing-swordmaster/,
The Terminally Ill Young Master of the Baek Clan!,Manhwa,40,"May 3, 2024 8:36 PM",A,Lecture,Fr,,https://perf-scan.fr/series/the-terminally-ill-young-master-of-the-baek-clan,
Academy’s Genius Swordmaster,Manhwa,6,"September 2, 2024 9:24 AM",A,Lecture,Fr,,https://starboundscans.com/series/17d7ee6e915/,"Dimanche, Samedi"
"Mr Devourer, Please Act Like a Final Boss",Manhwa,21,"May 31, 2024 8:41 PM",B,En Pause,Ang,,https://asuratoon.com/manga/9188439096-mr-devourer-please-act-like-a-final-boss/,
Greatest Boss System,Manhua,,"March 23, 2024 7:46 PM",,Not started,Ang,,https://topmanhua.com/manhua/greatest-boss-system/,
I'm the Great Immortal,Manhua,,"March 25, 2024 12:38 AM",,Not started,Fr,,https://manga-scantrad.io/manga/im-the-great-immortal/,
Catastrophic Necromancer,Manhua,114,"September 5, 2024 11:42 AM",A,Lecture,Fr,,https://starboundscans.com/series/cbe4a992268/,"Dimanche, Samedi"
The Count’s Youngest Son is a Player,Manhwa,31,"March 25, 2024 12:38 AM",A,Lecture,Fr,,https://starboundscans.com/series/4ee75e24660/,
Revenge of the Sword Clan’s Hound,Manhwa,74,"August 5, 2024 11:57 AM",SS,En Pause,Fr,"Hiatus,reprise Septembre",https://reaperscans.fr/serie/revenge-of-the-sword-clans-hound/,Dimanche
Limited Extra Time,Manhwa,72,"August 14, 2024 1:52 PM",A+,Arreter,Ang,,https://zinmanga.com/manga/limited-extra-time-the-time-of-the-terminally-ill-extra/,
Your Talent is Mine,Manhua,89,"August 31, 2024 1:35 AM",A+,Lecture,Fr,,https://reaperscans.fr/serie/your-talent-is-mine/,Alétoire
"She’s a Villain, but Her Husband is Handsome",Manhwa,31,"March 26, 2024 7:06 PM",B,Lecture,Fr,,https://manga-scantrad.io/manga/shes-a-villain-but-her-husband-is-handsome/,
The Regressed Son of a Duke is an Assassin,Manhwa,38,"September 5, 2024 11:44 AM",S,Lecture,Fr,,https://phenixscans.fr/manga/the-regressed-son-of-a-duke-is-an-assassin/,Dimanche
Regressing with the King’s Power,Manhwa,52,"September 2, 2024 9:23 AM",S,Lecture,Fr,,https://starboundscans.com/series/3ab7611f6d2/,
Monster pet evolution,Manhua,7,"August 14, 2024 1:52 PM",B,Arreter,Fr,,https://manga-scantrad.io/manga/monster-pet-evolution/,
I Killed an Academy Player,Manhwa,48,"September 2, 2024 9:23 AM",A+,Lecture,Fr,,https://phenixscans.fr/manga/v401734-i-killed-an-academy-player/,
Mightiest Melee Magician,Manhwa,35,"August 14, 2024 1:52 PM",A,En Pause,Fr,,https://reaperscans.fr/serie/mightiest-melee-magician/,
Reincarnation of a Martial Prodigy,Manhua,13,"March 27, 2024 6:42 PM",B,Lecture,Fr,,https://phenixscans.fr/manga/reincarnation-of-a-martial-prodigy/,
Sleeping Ranker,Manhwa,103,"August 14, 2024 1:53 PM",A+,En Pause,Fr,,https://phenixscans.fr/manga/v293037-sleeping-ranker/,
Terminally-Ill Genius Dark Knight,Manhwa,60,"June 11, 2024 11:50 AM",S,Lecture,Ang,,https://asuratoon.com/manga/9188439096-terminally-ill-genius-dark-knight/,"Mardi, Mercredi"
Royal Marriage,Manhwa,60,"March 28, 2024 7:35 PM",A,Lecture,Ang,,https://mangazin.org/manga/royal-marriage/,
The Indomitable Martial King,Manhwa,44,"August 31, 2024 1:35 AM",A,Lecture,Fr,,https://phenixscans.fr/manga/the-indomitable-martial-king/,
A Modern Man Who Transmigrated Into the Murim World,Manhwa,74,"September 2, 2024 9:22 AM",A,Lecture,Fr,,https://phenixscans.fr/manga/a-modern-man-who-transmigrated-into-the-murim-world-v76638897/,
The Male Lead’s Nephew Like Me So Much,Manhwa,57,"March 23, 2024 11:47 PM",B,Lecture,Ang,,https://zinmanga.com/manga/the-male-leads-nephew-like-me-so-much/,
Chronicles of the Demon Faction,Manhwa,77,"August 31, 2024 1:34 AM",A,Lecture,Fr,,https://phenixscans.fr/manga/v211360-chronicles-of-the-demon-faction/,
Genius of the Unique Lineage,Manhwa,78,"September 5, 2024 11:44 AM",A+,Lecture,Fr,,https://phenixscans.fr/manga/v841733-genius-of-the-unique-lineage/,
Kalli The Champion,Manhwa,76,"August 14, 2024 1:49 PM",A+,Lecture,Ang,,https://manhuaus.com/manga/kalli-the-champion/,
Solo Farming In The Tower,Manhwa,67,"August 11, 2024 11:41 PM",A,Lecture,Fr,,https://phenixscans.fr/manga/solo-farming-in-the-tower/,
Demonic Evolution,Manhwa,71,"September 2, 2024 9:27 AM",A,Lecture,Ang,,https://manhuaus.org/manga/demonic-evolution/,
My School Life Pretending to Be a Worthless Person,Manhwa,56,"May 8, 2024 12:01 PM",A+,Lecture,Fr,,https://phenixscans.fr/manga/my-school-life-pretending-to-be-a-worthless-person/,
The Main Characters That Only I Know,Manhwa,31,"June 16, 2024 5:39 PM",A,Lecture,Fr,,https://phenixscans.fr/manga/the-main-characters-that-only-i-know/,
I Became the Tyrant of a Defense Game,Manhwa,87,"May 31, 2024 8:40 PM",A+,En Pause,Fr,,https://phenixscans.fr/manga/v410733-tyrant-of-the-tower-defense-game/,
Ranker Return,Manhwa,156,"August 12, 2024 9:54 PM",S,Lecture,Fr,,https://drive.google.com/drive/folders/15K9B2cW_jW2JmaqE-28trew14809IoVd,Lundi
The Real Daughter Is Back,Manhwa,105,"July 10, 2024 11:35 AM",S,Lecture,Fr,"Les chapitre sont sur discord ",,
World’s Strongest Troll,Manhwa,71,"May 24, 2024 4:57 PM",A+,Lecture,Fr,,https://raijinscans.fr/manga/the-games-strongest-troller/,
Duke Pendragon,Manhwa,116,"June 12, 2024 10:30 PM",S,Lecture,Fr,,https://reaperscans.fr/serie/duke-pendragon/,
The Executioner,Manhwa,8,"May 31, 2024 8:39 PM",A,En Pause,Fr,,https://phenixscans.fr/manga/the-executioner/,
Blue Lock,Manga,268,"July 10, 2024 11:35 AM",SS,Lecture,Fr,,,
Demonic Emperor,Manhwa,501,"September 5, 2024 8:36 AM",SS,Lecture,Fr,,https://phenixscans.fr/manga/demonic-emperor/,
Hunter Academy’s Battle God,Manhwa,37,"September 2, 2024 9:26 AM",A,Lecture,Fr,,https://reaperscans.fr/serie/hunter-academys-battle-god/,
Regression of the Close Combat Mage,Manhwa,29,"August 3, 2024 7:57 PM",A,Lecture,Fr,,https://manga-scantrad.io/manga/regression-of-the-close-combat-mage/,
I Became The Youngest Prince In The Novel,Manhwa,13,"May 14, 2024 9:34 PM",A,Lecture,Fr,,https://phenixscans.fr/manga/i-became-the-youngest-prince-in-the-novel/,
Reincarnation of the Warrior Party Archmage,Manhwa,31,"June 14, 2024 11:49 AM",A,Lecture,Fr,,https://phenixscans.fr/manga/reincarnation-of-the-warrior-party-archmage/,
The Return of the Disaster-Class Hero,Manhwa,89,"September 2, 2024 9:22 AM",S,Lecture,Fr,,,
The Martial God who Regressed Back to Level 2,Manhwa,65,"August 31, 2024 1:35 AM",S,Lecture,Fr,,,